tt6297766	tvSeries	Studio City Kings	Studio City Kings	0	2016	2020	\N	Drama
tt6297884	tvSeries	Outsiders	Outsiders	0	2016	\N	60	Talk-Show
tt6298602	tvSeries	Accidental Death	Accidental Death	0	2023	\N	40	Action,Adventure,Comedy
tt6299370	tvSeries	Dead Landes	Dead Landes	0	2016	2016	\N	Comedy,Fantasy,Mystery
tt6299542	tvSeries	Elfie Shelfie	Elfie Shelfie	0	2016	2016	2	Comedy
tt6299642	tvSeries	Shaun's People	Shaun's People	0	2014	2016	30	Talk-Show
tt6299660	tvSeries	Adam Buxton's Bug	Adam Buxton's Bug	0	2012	2012	\N	Comedy
tt6299760	tvSeries	Guerrero Negro: La Leyenda de Isaac Gabriel	Guerrero Negro: La Leyenda de Isaac Gabriel	0	2016	\N	\N	Adventure
tt6299782	tvSeries	Algo pasa con Ana	Algo pasa con Ana	0	2016	2016	50	Reality-TV
tt6300002	tvSeries	The Gathering: The Movie	The Gathering: The Movie	0	2016	2017	15	Documentary
tt6300100	tvSeries	My Secret Romance	Aetaneun Romaenseu	0	2017	2017	47	Comedy,Romance
tt6300230	tvSeries	Operation Adventure	Operation Adventure	0	2017	\N	\N	Adventure
tt6300298	tvSeries	Flat Mates	Flat Mates	0	2016	\N	\N	Comedy
tt6300390	tvSeries	YogaStyles of Rich and the Almost Famous	YogaStyles of Rich and the Almost Famous	0	2016	2016	46	Reality-TV
tt6300432	tvSeries	Urgunt Care	Urgunt Care	0	2011	\N	\N	Comedy
tt6300534	tvSeries	How We Met	How We Met	0	2016	\N	\N	Comedy
tt6300838	tvSeries	Tiger Mask W	Tiger Mask W	0	2016	2017	23	Action,Animation,Drama
tt6300902	tvSeries	Grime Town	Grime Town	0	2016	\N	48	Drama
tt6300944	tvSeries	Coming Distractions	Coming Distractions	0	2017	\N	\N	Comedy
tt6301018	tvSeries	Salta a la vista	Salta a la vista	0	2011	\N	\N	Game-Show
tt6301100	tvSeries	Building Off the Grid: Big Sky Ranch	Building Off the Grid: Big Sky Ranch	0	2016	2016	\N	Reality-TV
tt6301134	tvSeries	Stay Out of the Desert	Stay Out of the Desert	0	2016	2016	\N	Comedy
